any,attempted_problem,course_id,created,interval_end,interval_start,played_video,posted_forum
28,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-10-30T000000,2022-10-23T000000,5,1
30,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-11-06T000000,2022-10-30T000000,11,2
42,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-11-13T000000,2022-11-06T000000,11,1
68,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-11-20T000000,2022-11-13T000000,17,2
49,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-11-27T000000,2022-11-20T000000,12,4
30,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-12-04T000000,2022-11-27T000000,9,4
37,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-12-11T000000,2022-12-04T000000,8,1
23,4,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-12-18T000000,2022-12-11T000000,8,3
15,4,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2022-12-25T000000,2022-12-18T000000,10,2
19,3,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-01-01T000000,2022-12-25T000000,7,2
25,5,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-01-08T000000,2023-01-01T000000,8,1
16,2,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-01-15T000000,2023-01-08T000000,4,2
27,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-01-22T000000,2023-01-15T000000,6,1
14,,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-01-29T000000,2023-01-22T000000,3,
21,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-02-05T000000,2023-01-29T000000,7,1
34,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-02-12T000000,2023-02-05T000000,8,
29,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-02-19T000000,2023-02-12T000000,8,1
43,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-02-26T000000,2023-02-19T000000,9,
32,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-03-05T000000,2023-02-26T000000,9,1
34,1,course-v1:ColumbiaX+CPC+1T2022,2024-04-18T091014,2023-03-12T000000,2023-03-05T000000,6,2
